"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Vendor","Link"
"C5,C6,C7,C8","4","3.3nF","","","","Lampatronics","https://lampatronics.com/product/ceramic-capacitors-3-3nf-50v/"
"C10,C11,C12,C13","4","0.1uF","","","","RAM","https://www.ram-e-shop.com/shop/c-0-1u50v-capacitor-0-1uf-50v-6071?srsltid=AfmBOorMVdQNvowTwE4kIpyPOggigRlphuB-EX6egWhv_fljiPlG5_en"
"C14,C16","2","10uF","","","","RAM","https://www.ram-e-shop.com/shop/c-10u100v-capacitor-10uf-100v-6090?srsltid=AfmBOoq9otAZk1xEZCKr_LWcic46m-D0KZz3H_7U8h7WSAPF8eUGwMiA"
"C15","1","1nF","","","","Lampatronics","https://lampatronics.com/product/ceramic-capacitors-1nf-50v-102/"
"D1","1","1N4007","","","","RAM","https://www.ram-e-shop.com/shop/1n4007-1n4007-general-purpose-silicon-diode-1a-1000v-5635"
"D2","1","LED","","","","RAM","https://www.ram-e-shop.com/shop/3mm-led-yy-led-3mm-yellow-color-6559"
"J1","1","Screw_Terminal_01x03","","","","RAM","https://www.ram-e-shop.com/shop/r-4-roseta-3pin-3-pin-pcb-screw-terminal-block-pitch-5mm-r-4-5856"
"J3","1","Conn_01x04_Pin","","","","RAM","https://www.ram-e-shop.com/shop/ph1-1x40-male-ph1-pin-header-male-1x40-straight-2-54mm-5808"
"R1,R3,R4,R6","4","1K","","","","RAM","https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=309"
"R2","1","22K","","","","RAM","https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=315"
"R5","1","330","","","","RAM","https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=306"
"RV1","1","10K","","","","RAM","https://www.ram-e-shop.com/shop/pot-10k-metal-rotary-potentiometer-10ko-6367"
"U1","1","LM7810_TO220","","","","RAM","https://www.ram-e-shop.com/shop/7810-l7810cv-original-st-5562"
"U2","1","NE555P","","","","RAM","https://www.ram-e-shop.com/shop/ne555-copy-ne555p-timer-ic-copy-6715"
"U3","1","LM7910_TO220","","","","Lampatronics","https://lampatronics.com/product/l7910cv-negative-voltage-regulator-10v/"
"U4,U5,U6","3","LM741","","","","RAM","https://www.ram-e-shop.com/shop/u741-original-ua741cp-original-5727"
